COURSE_NUM,YEAR,TERM,SECTION,CAP
CS130,2022,F2A,DL,24
CS140,2022,F2A,DL,24
CS140,2022,F2A,DLA,24
CS140,2022,F2A,EL,8
CS140,2022,F2A,ELZ,15
CS152,2022,F2A,DL,20
CS152,2022,F2A,DLA,20
CS152,2022,F2A,DLB,20
CS206,2022,F2A,DL,20
CS208,2022,F2A,DL,24
CS208,2022,F2A,DLA,24
CS208,2022,F2A,DLB,24
CS225,2022,F2A,DL,20
CS240,2022,F2A,DL,24
CS252,2022,F2A,DL,20
CS252,2022,F2A,DLA,20
CS300,2022,F2A,DL,18
CS300,2022,F2A,DLA,18
CS305,2022,F2A,DL,24
CS317,2022,F2A,DL,24
CS319,2022,F2A,DL,24
CS335,2022,F2A,DL,24
CS351,2022,F2A,DL,24
CS352,2022,F2A,DL,20
CS365A,2022,F2A,DL,24
CS365A,2022,F2A,DLA,24
CS366A,2022,F2A,DL,24
CS371,2022,F2A,DL,24
CS372,2022,F2A,DL,24
CS375,2022,F2A,DL,24
